address,country,hs_object_id,industry,lastmodifieddate,phone,email,city
"Blackpool  Rue, 6576",Ireland,416102,Poultry and fish,2023-07-02T03:21:09.194Z,(+353) 7743 86624,zoe_owen450104633@acrit.org,Waterford
"Parkfield  Avenue, 5340",Ireland,413403,Fruit and vegetables,2023-07-02T03:17:41.474Z,(+353) 6777 367783,zara_rodwell1398442854@nickia.com,
"Abourne   Lane, 876",Ireland,417951,Milling,2023-07-02T03:12:00.570Z,(+353) 5618 556540,zara_freeburn1593147546@gmail.com,
"Chester      Crossroad, 7070",Ireland,419852,Dairy products,2023-07-02T03:17:47.964Z,(+353) 1161 604327,winnie_walter538064895@sheye.org,Dublin
"Tilloch   Crossroad, 8332",Ireland,425352,Meat,2023-07-02T03:16:09.371Z,(+353) 5645 416200,zoe_owen1652446013@bungar.biz,Dublin
"Jackson Hill, 547",England,427351,Animal feeds,2023-07-02T03:16:09.373Z,(+44) 7614 866578,zara_oldfield587137840@ubusive.com,London
"Fieldstone Grove, 9968",Ireland,428601,Meat,2023-07-02T03:16:04.595Z,(+353) 6224 156216,zara_freeburn2028884073@gembat.biz,Limerick
"Becklow  Way, 8143",Ireland,432351,Fruit and vegetables,2023-07-02T03:11:45.243Z,(+353) 3386 252475,zara_rodwell1270511699@zorer.org,Dublin
"Battersea   Walk, 8093",Ireland,433703,Meat,2023-07-02T03:21:09.037Z,(+353) 2716 506551,zara_oldfield769606638@atink.com,Limerick
"Bellenden   Tunnel, 9570",England,413251,Fruit and vegetables,2023-07-02T03:21:14.268Z,(+44) 4660 745823,willow_morris1105172480@qater.org,Winchester
"Cable    Drive, 7975",Ireland,419751,Animal feeds,2023-07-02T03:12:21.499Z,(+353) 6164 007600,willow_nash743964098@twace.org,
"Ellerslie Boulevard, 5976",England,420601,Fruit and vegetables,2023-07-02T03:21:10.511Z,(+44) 4344 202781,willow_nash1165890703@fuliss.net,London
"Linden Rue, 5269",England,427051,Animal feeds,2023-07-02T03:10:27.760Z,(+44) 8221 37453,willow_morris1547026985@tonsy.org,Milton Keynes
"Aylward   Avenue, 6033",England,434002,Fruit and vegetables,2023-07-02T03:14:04.099Z,(+44) 1026 166508,winnie_bristow1379132537@sheye.org,Oxford
"Cliffords  Route, 6823",Ireland,434401,Milling,2023-07-02T03:21:04.631Z,(+353) 8438 055458,willow_jones456638849@atink.com,Waterford
"Collins  Lane, 3994",Ireland,437452,Dairy products,2023-07-02T03:22:48.803Z,(+353) 2567 604285,winnie_walter1068546463@naiker.biz,
"Thomas  Hill, 2473",England,437902,Poultry and fish,2023-07-02T03:20:53.456Z,(+44) 8602 840700,winnie_bristow1103281781@infotech44.tech,Milton Keynes
"Bendmore  Drive, 3307",England,416751,Bakery products,2023-07-02T03:14:08.171Z,(+44) 6317 525775,william_wooldridge878113695@vetan.org,Oxford
"Clerkenwell Tunnel, 4196",England,418851,Poultry and fish,2023-07-02T03:22:46.973Z,(+44) 8404 135264,william_wilkinson2025879958@nanoff.biz,Winchester
